OTU_ID	Kingdom_RDP	Kingdom_BLAST	Kingdom_SINTAX	Kingdom_Consensus	Phylum_RDP	Phylum_BLAST	Phylum_SINTAX	Phylum_Consensus	Class_RDP	Class_BLAST	Class_SINTAX	Class_Consensus	Order_RDP	Order_BLAST	Order_SINTAX	Order_Consensus	Family_RDP	Family_BLAST	Family_SINTAX	Family_Consensus	Genus_RDP	Genus_BLAST	Genus_SINTAX	Genus_Consensus	Species_RDP	Species_BLAST	Species_SINTAX	Species_Consensus
OTU_1	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1		Sordariomycetes_1	Hypocreales_1	Hypocreales_1		Hypocreales_1	Nectriaceae_1	Nectriaceae_1		Nectriaceae_1	Fusarium_1	Fusarium_1		Fusarium_1				
OTU_2	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Dothideomycetes_1	Dothideomycetes_1	Dothideomycetes	Dothideomycetes_1	Pleosporales_1	Pleosporales_1	Pleosporales	Pleosporales_1	Corynesporascaceae_1		Corynesporascaceae	Corynesporascaceae_1	Corynespora_1		Corynespora	Corynespora_1	Corynespora cassiicola 			Corynespora cassiicola 
OTU_3	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes	Sordariomycetes_1	Hypocreales_1	Hypocreales_1		Hypocreales_1	Bionectriaceae_1	Bionectriaceae_1		Bionectriaceae_1		Clonostachys_1		Clonostachys_1				
OTU_4	Fungi_1	Fungi_1	Fungi	Fungi_1		Ascomycota_1		Ascomycota_1		Dothideomycetes_1		Dothideomycetes_1		Pleosporales_1		Pleosporales_1												
OTU_5	Fungi_1	Fungi_1	Fungi	Fungi_1		Ascomycota_1		Ascomycota_1		Dothideomycetes_1		Dothideomycetes_1		Pleosporales_1		Pleosporales_1		Phaeosphaeriaceae_1		Phaeosphaeriaceae_1		Setophoma_1		Setophoma_1				
OTU_6	Fungi_1	Fungi_1	Fungi	Fungi_1																								
OTU_7	Fungi_1	Fungi_1	Fungi	Fungi_1		Ascomycota_1		Ascomycota_1		Sordariomycetes_1		Sordariomycetes_1		Hypocreales_1		Hypocreales_1		Nectriaceae_1		Nectriaceae_1		Fusarium_1		Fusarium_1				
OTU_8	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1		Sordariomycetes_1	Hypocreales_1	Hypocreales_1		Hypocreales_1	Nectriaceae_1	Nectriaceae_1		Nectriaceae_1	Fusarium_1			Fusarium_1	Fusarium waltergamsii 			Fusarium waltergamsii 
OTU_9	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1		Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1		Sordariomycetes_1	Hypocreales_1	Hypocreales_1		Hypocreales_1	Nectriaceae_1	Nectriaceae_1		Nectriaceae_1								
OTU_10	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Eurotiomycetes_1	Eurotiomycetes_1	Eurotiomycetes	Eurotiomycetes_1	Chaetothyriales_1	Chaetothyriales_1	Chaetothyriales	Chaetothyriales_1												
OTU_11	Fungi_1	Fungi_1	Fungi	Fungi_1	Ascomycota_1	Ascomycota_1	Ascomycota	Ascomycota_1	Sordariomycetes_1	Sordariomycetes_1	Sordariomycetes	Sordariomycetes_1	Glomerellales_1	Glomerellales_1	Glomerellales	Glomerellales_1	Plectosphaerellaceae_1	Plectosphaerellaceae_1	Plectosphaerellaceae	Plectosphaerellaceae_1	Plectosphaerella_1	Plectosphaerella_1	Plectosphaerella	Plectosphaerella_1				
